# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
110494	dm	c.26.2.4	-	Hypothetical protein Rv1636
110495	sp	c.26.2.4	-	Mycobacterium tuberculosis
107204	px	c.26.2.4	d1tq8a_	1tq8 A:
107205	px	c.26.2.4	d1tq8b_	1tq8 B:
107206	px	c.26.2.4	d1tq8c_	1tq8 C:
107207	px	c.26.2.4	d1tq8d_	1tq8 D:
107208	px	c.26.2.4	d1tq8e_	1tq8 E:
107209	px	c.26.2.4	d1tq8f_	1tq8 F:
52413	sf	c.26.3	-	UDP-glucose/GDP-mannose dehydrogenase C-terminal domain
52414	fa	c.26.3.1	-	UDP-glucose/GDP-mannose dehydrogenase C-terminal domain
52415	dm	c.26.3.1	-	UDP-glucose dehydrogenase (UDPGDH), C-terminal (UDP-binding) domain
52416	sp	c.26.3.1	-	Streptococcus pyogenes
31621	px	c.26.3.1	d1dlja3	1dlj A:295-402
31622	px	c.26.3.1	d1dlia3	1dli A:295-402
89617	dm	c.26.3.1	-	GDP-mannose 6-dehydrogenase, GDP-binding domain
89618	sp	c.26.3.1	-	Pseudomonas aeruginosa
85130	px	c.26.3.1	d1mv8a3	1mv8 A:301-436
85133	px	c.26.3.1	d1mv8b3	1mv8 B:301-436
85136	px	c.26.3.1	d1mv8c3	1mv8 C:301-436
85139	px	c.26.3.1	d1mv8d3	1mv8 D:301-436
85118	px	c.26.3.1	d1muua3	1muu A:301-436
85121	px	c.26.3.1	d1muub3	1muu B:301-436
85124	px	c.26.3.1	d1muuc3	1muu C:301-436
85127	px	c.26.3.1	d1muud3	1muu D:301-436
84943	px	c.26.3.1	d1mfza3	1mfz A:301-436
84946	px	c.26.3.1	d1mfzb3	1mfz B:301-436
84949	px	c.26.3.1	d1mfzc3	1mfz C:301-436
84952	px	c.26.3.1	d1mfzd3	1mfz D:301-436
52417	cf	c.27	-	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
52418	sf	c.27.1	-	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
52419	fa	c.27.1.1	-	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
52420	dm	c.27.1.1	-	Thymidine phosphorylase
52421	sp	c.27.1.1	-	Escherichia coli
31623	px	c.27.1.1	d2tpt_2	2tpt 71-335
31624	px	c.27.1.1	d1otp_2	1otp 71-335
31625	px	c.27.1.1	d1azya2	1azy A:71-335
31626	px	c.27.1.1	d1azyb2	1azy B:71-335
31627	px	c.27.1.1	d1tpt_2	1tpt 71-335
102268	sp	c.27.1.1	-	Human (Homo sapiens)
99707	px	c.27.1.1	d1uoua2	1uou A:101-373
52422	dm	c.27.1.1	-	Pyrimidine nucleoside phosphorylase
52423	sp	c.27.1.1	-	Bacillus stearothermophilus
31628	px	c.27.1.1	d1brwa2	1brw A:71-330
31629	px	c.27.1.1	d1brwb2	1brw B:1071-1330
82364	dm	c.27.1.1	-	Anthranilate phosphoribosyltransferase (TrpD)
82365	sp	c.27.1.1	-	Archaeon Sulfolobus solfataricus
80766	px	c.27.1.1	d1o17a2	1o17 A:71-343
80768	px	c.27.1.1	d1o17b2	1o17 B:71-343
80770	px	c.27.1.1	d1o17c2	1o17 C:71-345
80772	px	c.27.1.1	d1o17d2	1o17 D:71-345
83365	px	c.27.1.1	d1gxba2	1gxb A:71-344
83367	px	c.27.1.1	d1gxbb2	1gxb B:71-343
83369	px	c.27.1.1	d1gxbc2	1gxb C:71-345
83371	px	c.27.1.1	d1gxbd2	1gxb D:71-345
82366	sp	c.27.1.1	-	Pectobacterium carotovorum
77401	px	c.27.1.1	d1khda2	1khd A:81-344
77403	px	c.27.1.1	d1khdb2	1khd B:81-344
77405	px	c.27.1.1	d1khdc2	1khd C:81-345
77407	px	c.27.1.1	d1khdd2	1khd D:81-344
77397	px	c.27.1.1	d1kgza2	1kgz A:81-344
77399	px	c.27.1.1	d1kgzb2	1kgz B:81-344
102269	sp	c.27.1.1	-	Thermus thermophilus
100506	px	c.27.1.1	d1v8ga2	1v8g A:66-329
100508	px	c.27.1.1	d1v8gb2	1v8g B:66-329
52424	cf	c.28	-	Cryptochrome/photolyase, N-terminal domain
52425	sf	c.28.1	-	Cryptochrome/photolyase, N-terminal domain
52426	fa	c.28.1.1	-	Cryptochrome/photolyase, N-terminal domain
52427	dm	c.28.1.1	-	DNA photolyase
52428	sp	c.28.1.1	-	Escherichia coli
31630	px	c.28.1.1	d1dnpa2	1dnp A:1-200
31631	px	c.28.1.1	d1dnpb2	1dnp B:1-200
69460	sp	c.28.1.1	-	Thermus thermophilus
66276	px	c.28.1.1	d1iqra2	1iqr A:2-171
71281	px	c.28.1.1	d1iqua2	1iqu A:2-171
52429	sp	c.28.1.1	-	Anacystis nidulans
93648	px	c.28.1.1	d1owla2	1owl A:3-204
31632	px	c.28.1.1	d1qnf_2	1qnf 1-204
93656	px	c.28.1.1	d1owpa2	1owp A:2-204
93650	px	c.28.1.1	d1owma2	1owm A:2-204
93652	px	c.28.1.1	d1owna2	1own A:2-204
93654	px	c.28.1.1	d1owoa2	1owo A:2-204
82367	dm	c.28.1.1	-	Cryptochrome
82368	sp	c.28.1.1	-	Synechocystis sp., pcc 6803
80678	px	c.28.1.1	d1np7a2	1np7 A:1-204
80680	px	c.28.1.1	d1np7b2	1np7 B:1-204
110496	sp	c.28.1.1	-	Thale cress (Arabidopsis thaliana)
107639	px	c.28.1.1	d1u3da2	1u3d A:13-197
107637	px	c.28.1.1	d1u3ca2	1u3c A:13-197
75168	cf	c.114	-	YchN-like
75169	sf	c.114.1	-	YchN-like
75170	fa	c.114.1.1	-	YchN-like
82369	dm	c.114.1.1	-	Hypothetical protein YchN
82370	sp	c.114.1.1	-	Escherichia coli
77195	px	c.114.1.1	d1jx7a_	1jx7 A:
77196	px	c.114.1.1	d1jx7b_	1jx7 B:
77197	px	c.114.1.1	d1jx7c_	1jx7 C:
77198	px	c.114.1.1	d1jx7d_	1jx7 D:
77199	px	c.114.1.1	d1jx7e_	1jx7 E:
77200	px	c.114.1.1	d1jx7f_	1jx7 F:
75171	dm	c.114.1.1	-	Hypothetical protein MTH1491
75172	sp	c.114.1.1	-	Archaeon Methanobacterium thermoautotrophicum
73484	px	c.114.1.1	d1l1sa_	1l1s A:
88722	cf	c.120	-	PIN domain-like
88723	sf	c.120.1	-	PIN domain-like
89619	fa	c.120.1.1	-	PIN domain
89620	dm	c.120.1.1	-	Hypothetical protein AF0591
89621	sp	c.120.1.1	-	Archaeon Archaeoglobus fulgidus
86629	px	c.120.1.1	d1o4wa_	1o4w A:
102270	dm	c.120.1.1	-	Hypothetical protein PAE2754
102271	sp	c.120.1.1	-	Archaeon Pyrobaculum aerophilum
100519	px	c.120.1.1	d1v8pa_	1v8p A:
100520	px	c.120.1.1	d1v8pb_	1v8p B:
100521	px	c.120.1.1	d1v8pc_	1v8p C:
100522	px	c.120.1.1	d1v8pd_	1v8p D:
100523	px	c.120.1.1	d1v8pe_	1v8p E:
100524	px	c.120.1.1	d1v8pf_	1v8p F:
100525	px	c.120.1.1	d1v8pg_	1v8p G:
100526	px	c.120.1.1	d1v8ph_	1v8p H:
100527	px	c.120.1.1	d1v8pi_	1v8p I:
100528	px	c.120.1.1	d1v8pj_	1v8p J:
100529	px	c.120.1.1	d1v8pk_	1v8p K:
100530	px	c.120.1.1	d1v8pl_	1v8p L:
100511	px	c.120.1.1	d1v8oa_	1v8o A:
100512	px	c.120.1.1	d1v8ob_	1v8o B:
100513	px	c.120.1.1	d1v8oc_	1v8o C:
100514	px	c.120.1.1	d1v8od_	1v8o D:
100515	px	c.120.1.1	d1v8oe_	1v8o E:
100516	px	c.120.1.1	d1v8of_	1v8o F:
100517	px	c.120.1.1	d1v8og_	1v8o G:
100518	px	c.120.1.1	d1v8oh_	1v8o H:
53045	fa	c.120.1.2	-	5' to 3' exonuclease catalytic domain
53046	dm	c.120.1.2	-	T4 RNase H
53047	sp	c.120.1.2	-	Bacteriophage T4
33351	px	c.120.1.2	d1tfr_2	1tfr 12-180
53048	dm	c.120.1.2	-	5' to 3' exonuclease domain of DNA polymerase Taq
53049	sp	c.120.1.2	-	Thermus aquaticus
33353	px	c.120.1.2	d1bgxt2	1bgx T:1-173
33354	px	c.120.1.2	d1cmwa2	1cmw A:10-173
33352	px	c.120.1.2	d1taq_2	1taq 10-173
33355	px	c.120.1.2	d1taua2	1tau A:10-173
53050	dm	c.120.1.2	-	T5 5'-exonuclease
53051	sp	c.120.1.2	-	Bacteriophage T5
33356	px	c.120.1.2	d1xo1a2	1xo1 A:19-185
33357	px	c.120.1.2	d1xo1b2	1xo1 B:19-185
33358	px	c.120.1.2	d1exna2	1exn A:20-185
33359	px	c.120.1.2	d1exnb2	1exn B:20-185
99909	px	c.120.1.2	d1ut8a2	1ut8 A:20-185
99911	px	c.120.1.2	d1ut8b2	1ut8 B:20-185
99903	px	c.120.1.2	d1ut5a2	1ut5 A:20-185
99905	px	c.120.1.2	d1ut5b2	1ut5 B:20-185
53052	dm	c.120.1.2	-	Flap endonuclease-1 (Fen-1 nuclease)
53053	sp	c.120.1.2	-	Archaeon Methanococcus jannaschii
33360	px	c.120.1.2	d1a77_2	1a77 2-208
33361	px	c.120.1.2	d1a76_2	1a76 2-208
82436	sp	c.120.1.2	-	Archaeon Pyrococcus horikoshii
78946	px	c.120.1.2	d1mc8a2	1mc8 A:2-220
78948	px	c.120.1.2	d1mc8b2	1mc8 B:2-220
53055	sp	c.120.1.2	-	Archaeon Pyrococcus furiosus
33362	px	c.120.1.2	d1b43a2	1b43 A:1-219
33363	px	c.120.1.2	d1b43b2	1b43 B:1-219
102272	sp	c.120.1.2	-	Archaeon Archaeoglobus fulgidus
98060	px	c.120.1.2	d1rxwa2	1rxw A:3-219
98056	px	c.120.1.2	d1rxva2	1rxv A:4-219
98058	px	c.120.1.2	d1rxvb2	1rxv B:4-219
89622	cf	c.121	-	Ribose/Galactose isomerase RpiB/AlsB
89623	sf	c.121.1	-	Ribose/Galactose isomerase RpiB/AlsB
89624	fa	c.121.1.1	-	Ribose/Galactose isomerase RpiB/AlsB
89625	dm	c.121.1.1	-	Alternate ribose 5-phosphate isomerase B, RpiB
89626	sp	c.121.1.1	-	Escherichia coli
85888	px	c.121.1.1	d1nn4a_	1nn4 A:
85889	px	c.121.1.1	d1nn4b_	1nn4 B:
85890	px	c.121.1.1	d1nn4c_	1nn4 C:
85891	px	c.121.1.1	d1nn4d_	1nn4 D:
102273	sp	c.121.1.1	-	Mycobacterium tuberculosis
99871	px	c.121.1.1	d1usla_	1usl A:
99872	px	c.121.1.1	d1uslb_	1usl B:
99873	px	c.121.1.1	d1uslc_	1usl C:
99874	px	c.121.1.1	d1usld_	1usl D:
99875	px	c.121.1.1	d1usle_	1usl E:
89627	dm	c.121.1.1	-	Putative sugar-phosphate isomerase
89628	sp	c.121.1.1	-	Thermotoga maritima
86553	px	c.121.1.1	d1o1xa_	1o1x A:
75216	cf	c.116	-	alpha/beta knot
75217	sf	c.116.1	-	alpha/beta knot
82371	fa	c.116.1.3	-	YbeA-like
82372	dm	c.116.1.3	-	Hypothetical protein YbeA
82373	sp	c.116.1.3	-	Escherichia coli
80705	px	c.116.1.3	d1ns5a_	1ns5 A:
80706	px	c.116.1.3	d1ns5b_	1ns5 B:
102274	dm	c.116.1.3	-	Hypothetical protein TM0844
102275	sp	c.116.1.3	-	Thermotoga maritima
92567	px	c.116.1.3	d1o6da_	1o6d A:
102276	dm	c.116.1.3	-	Hypothetical protein SAV0024/SA0023
102277	sp	c.116.1.3	-	Staphylococcus aureus
100626	px	c.116.1.3	d1vh0a_	1vh0 A:
100627	px	c.116.1.3	d1vh0b_	1vh0 B:
100628	px	c.116.1.3	d1vh0c_	1vh0 C:
100629	px	c.116.1.3	d1vh0d_	1vh0 D:
100630	px	c.116.1.3	d1vh0e_	1vh0 E:
100631	px	c.116.1.3	d1vh0f_	1vh0 F:
110497	dm	c.116.1.3	-	Hypothetical protein YydA
110498	sp	c.116.1.3	-	Bacillus subtilis
107153	px	c.116.1.3	d1to0a_	1to0 A:
107154	px	c.116.1.3	d1to0b_	1to0 B:
107155	px	c.116.1.3	d1to0c_	1to0 C:
107156	px	c.116.1.3	d1to0d_	1to0 D:
107157	px	c.116.1.3	d1to0e_	1to0 E:
107158	px	c.116.1.3	d1to0f_	1to0 F:
107159	px	c.116.1.3	d1to0g_	1to0 G:
107160	px	c.116.1.3	d1to0h_	1to0 H:
89629	fa	c.116.1.4	-	tRNA(m1G37)-methyltransferase TrmD
89630	dm	c.116.1.4	-	tRNA(m1G37)-methyltransferase TrmD
89631	sp	c.116.1.4	-	Haemophilus influenzae
88383	px	c.116.1.4	d1uala_	1ual A:
88381	px	c.116.1.4	d1uaja_	1uaj A:
88382	px	c.116.1.4	d1uaka_	1uak A:
88384	px	c.116.1.4	d1uama_	1uam A:
102278	sp	c.116.1.4	-	Aquifex aeolicus
93718	px	c.116.1.4	d1oy5a_	1oy5 A:
93719	px	c.116.1.4	d1oy5b_	1oy5 B:
93720	px	c.116.1.4	d1oy5c_	1oy5 C:
110499	sp	c.116.1.4	-	Escherichia coli
104092	px	c.116.1.4	d1p9pa_	1p9p A:
75218	fa	c.116.1.1	-	SpoU-like RNA 2'-O ribose methyltransferase
102279	dm	c.116.1.1	-	tRNA (Gm18) methyltransferase TrmH
102280	sp	c.116.1.1	-	Thermus thermophilus
100274	px	c.116.1.1	d1v2xa_	1v2x A:
82374	dm	c.116.1.1	-	Hypothetical tRNA/rRNA methyltransfease HI0766 (YibK homologue)
82375	sp	c.116.1.1	-	Haemophilus influenzae
79646	px	c.116.1.1	d1mxia_	1mxi A:
77100	px	c.116.1.1	d1j85a_	1j85 A:
75219	dm	c.116.1.1	-	RrmA (RrmH), C-terminal domain
75220	sp	c.116.1.1	-	Thermus thermophilus
71254	px	c.116.1.1	d1ipaa1	1ipa A:106-263
82376	dm	c.116.1.1	-	RlmB, C-terminal domain
82377	sp	c.116.1.1	-	Escherichia coli
76391	px	c.116.1.1	d1gz0a1	1gz0 A:78-243
76393	px	c.116.1.1	d1gz0b1	1gz0 B:78-243
76395	px	c.116.1.1	d1gz0c1	1gz0 C:78-243
76397	px	c.116.1.1	d1gz0d1	1gz0 D:78-243
76399	px	c.116.1.1	d1gz0e1	1gz0 E:78-243
76400	px	c.116.1.1	d1gz0f1	1gz0 F:78-243
76402	px	c.116.1.1	d1gz0g1	1gz0 G:78-243
76403	px	c.116.1.1	d1gz0h1	1gz0 H:78-243
75221	fa	c.116.1.2	-	Hypothetical protein MTH1 (MT0001), dimerisation domain
75222	dm	c.116.1.2	-	Hypothetical protein MTH1 (MT0001), dimerisation domain
75223	sp	c.116.1.2	-	Archaeon Methanobacterium thermoautotrophicum
72019	px	c.116.1.2	d1k3ra2	1k3r A:1-92,A:164-262
72021	px	c.116.1.2	d1k3rb2	1k3r B:1-92,B:164-264
89632	fa	c.116.1.5	-	YggJ C-terminal domain-like
89633	dm	c.116.1.5	-	Hypothetical protein HI0303
89634	sp	c.116.1.5	-	Haemophilus influenzae
100715	px	c.116.1.5	d1vhya2	1vhy A:74-247
100717	px	c.116.1.5	d1vhyb2	1vhy B:74-247
86392	px	c.116.1.5	d1nxza2	1nxz A:74-247
86394	px	c.116.1.5	d1nxzb2	1nxz B:74-246
102281	dm	c.116.1.5	-	Hypothetical protein YqeU
102282	sp	c.116.1.5	-	Bacillus subtilis
100681	px	c.116.1.5	d1vhka2	1vhk A:74-253
100683	px	c.116.1.5	d1vhkb2	1vhk B:74-253
100685	px	c.116.1.5	d1vhkc2	1vhk C:74-253
100687	px	c.116.1.5	d1vhkd2	1vhk D:74-253
52439	cf	c.30	-	PreATP-grasp domain
52440	sf	c.30.1	-	PreATP-grasp domain
52441	fa	c.30.1.1	-	BC N-terminal domain-like
52442	dm	c.30.1.1	-	Biotin carboxylase (BC), N-terminal domain
52443	sp	c.30.1.1	-	Escherichia coli
31641	px	c.30.1.1	d1dv1a2	1dv1 A:1-114
31642	px	c.30.1.1	d1dv1b2	1dv1 B:1-114
31643	px	c.30.1.1	d1bnca2	1bnc A:1-114
31644	px	c.30.1.1	d1bncb2	1bnc B:1-114
31645	px	c.30.1.1	d1dv2a2	1dv2 A:1C-114
31646	px	c.30.1.1	d1dv2b2	1dv2 B:1A-114
102283	sp	c.30.1.1	-	Aquifex aeolicus
99576	px	c.30.1.1	d1ulza2	1ulz A:1-114
52444	dm	c.30.1.1	-	Glycinamide ribonucleotide synthetase (GAR-syn), N-domain
52445	sp	c.30.1.1	-	Escherichia coli
31647	px	c.30.1.1	d1gsoa2	1gso A:-2-103
110500	sp	c.30.1.1	-	Thermotoga maritima
108699	px	c.30.1.1	d1vkza2	1vkz A:4-93
108702	px	c.30.1.1	d1vkzb2	1vkz B:4-93
52446	dm	c.30.1.1	-	N5-carboxyaminoimidazole ribonucleotide synthetase PurK (AIRC), N-domain
52447	sp	c.30.1.1	-	Escherichia coli
31648	px	c.30.1.1	d1b6ra2	1b6r A:1-78
31649	px	c.30.1.1	d1b6sa2	1b6s A:1-78
31650	px	c.30.1.1	d1b6sb2	1b6s B:1-78
31651	px	c.30.1.1	d1b6sc2	1b6s C:1-78
31652	px	c.30.1.1	d1b6sd2	1b6s D:1-78
52448	dm	c.30.1.1	-	Glycinamide ribonucleotide transformylase PurT, N-domain
52449	sp	c.30.1.1	-	Escherichia coli
72617	px	c.30.1.1	d1kjqa2	1kjq A:2-112
72620	px	c.30.1.1	d1kjqb2	1kjq B:2-112
72584	px	c.30.1.1	d1kj8a2	1kj8 A:2-112
72587	px	c.30.1.1	d1kj8b2	1kj8 B:2-112
72590	px	c.30.1.1	d1kj9a2	1kj9 A:2-112
72593	px	c.30.1.1	d1kj9b2	1kj9 B:2-112
72602	px	c.30.1.1	d1kjia2	1kji A:2-112
72605	px	c.30.1.1	d1kjib2	1kji B:2-112
31653	px	c.30.1.1	d1eyza2	1eyz A:2-112
31654	px	c.30.1.1	d1eyzb2	1eyz B:2-112
72608	px	c.30.1.1	d1kjja2	1kjj A:2-112
72611	px	c.30.1.1	d1kjjb2	1kjj B:2-112
31655	px	c.30.1.1	d1ez1a2	1ez1 A:2-112
31656	px	c.30.1.1	d1ez1b2	1ez1 B:2-112
52450	dm	c.30.1.1	-	Carbamoyl phosphate synthetase (CPS), large subunit PreATP-grasp domains
52451	sp	c.30.1.1	-	Escherichia coli
31657	px	c.30.1.1	d1a9xa3	1a9x A:1-127
31658	px	c.30.1.1	d1a9xa4	1a9x A:556-676
31659	px	c.30.1.1	d1a9xc3	1a9x C:2001-2127
31660	px	c.30.1.1	d1a9xc4	1a9x C:2556-2676
31661	px	c.30.1.1	d1a9xe3	1a9x E:4001-4127
31662	px	c.30.1.1	d1a9xe4	1a9x E:4556-4676
31663	px	c.30.1.1	d1a9xg3	1a9x G:6001-6127
31664	px	c.30.1.1	d1a9xg4	1a9x G:6556-6676
31665	px	c.30.1.1	d1c30a3	1c30 A:1-127
31666	px	c.30.1.1	d1c30a4	1c30 A:556-676
31667	px	c.30.1.1	d1c30c3	1c30 C:1-127
31668	px	c.30.1.1	d1c30c4	1c30 C:556-676
31669	px	c.30.1.1	d1c30e3	1c30 E:1-127
31670	px	c.30.1.1	d1c30e4	1c30 E:556-676
31671	px	c.30.1.1	d1c30g3	1c30 G:1-127
31672	px	c.30.1.1	d1c30g4	1c30 G:556-676
31673	px	c.30.1.1	d1cs0a3	1cs0 A:1-127
31674	px	c.30.1.1	d1cs0a4	1cs0 A:556-676
31675	px	c.30.1.1	d1cs0c3	1cs0 C:1-127
31676	px	c.30.1.1	d1cs0c4	1cs0 C:556-676
31677	px	c.30.1.1	d1cs0e3	1cs0 E:1-127
31678	px	c.30.1.1	d1cs0e4	1cs0 E:556-676
31679	px	c.30.1.1	d1cs0g3	1cs0 G:1-127
31680	px	c.30.1.1	d1cs0g4	1cs0 G:556-676
31705	px	c.30.1.1	d1jdbb3	1jdb B:0-127
31706	px	c.30.1.1	d1jdbb4	1jdb B:556-676
31707	px	c.30.1.1	d1jdbe3	1jdb E:1-127
31708	px	c.30.1.1	d1jdbe4	1jdb E:556-676
31709	px	c.30.1.1	d1jdbh3	1jdb H:0-127
31710	px	c.30.1.1	d1jdbh4	1jdb H:556-676
31711	px	c.30.1.1	d1jdbk3	1jdb K:0-127
31712	px	c.30.1.1	d1jdbk4	1jdb K:556-676
74538	px	c.30.1.1	d1m6va3	1m6v A:1-127
74539	px	c.30.1.1	d1m6va4	1m6v A:556-676
74546	px	c.30.1.1	d1m6vc3	1m6v C:1-127
74547	px	c.30.1.1	d1m6vc4	1m6v C:556-676
74554	px	c.30.1.1	d1m6ve3	1m6v E:1-127
74555	px	c.30.1.1	d1m6ve4	1m6v E:556-676
74562	px	c.30.1.1	d1m6vg3	1m6v G:1-127
74563	px	c.30.1.1	d1m6vg4	1m6v G:556-676
31681	px	c.30.1.1	d1c3oa3	1c3o A:1-127
31682	px	c.30.1.1	d1c3oa4	1c3o A:556-676
31683	px	c.30.1.1	d1c3oc3	1c3o C:1-127
31684	px	c.30.1.1	d1c3oc4	1c3o C:556-676
31685	px	c.30.1.1	d1c3oe3	1c3o E:1-127
31686	px	c.30.1.1	d1c3oe4	1c3o E:556-676
31687	px	c.30.1.1	d1c3og3	1c3o G:1-127
31688	px	c.30.1.1	d1c3og4	1c3o G:556-676
68494	px	c.30.1.1	d1keea3	1kee A:1-127
68495	px	c.30.1.1	d1keea4	1kee A:556-676
68502	px	c.30.1.1	d1keec3	1kee C:1-127
68503	px	c.30.1.1	d1keec4	1kee C:556-676
68510	px	c.30.1.1	d1keee3	1kee E:1-127
68511	px	c.30.1.1	d1keee4	1kee E:556-676
68518	px	c.30.1.1	d1keeg3	1kee G:1-127
68519	px	c.30.1.1	d1keeg4	1kee G:556-676
31689	px	c.30.1.1	d1ce8a3	1ce8 A:1-127
31690	px	c.30.1.1	d1ce8a4	1ce8 A:556-676
31691	px	c.30.1.1	d1ce8c3	1ce8 C:1-127
31692	px	c.30.1.1	d1ce8c4	1ce8 C:556-676
31693	px	c.30.1.1	d1ce8e3	1ce8 E:1-127
31694	px	c.30.1.1	d1ce8e4	1ce8 E:556-676
31695	px	c.30.1.1	d1ce8g3	1ce8 G:1-127
31696	px	c.30.1.1	d1ce8g4	1ce8 G:556-676
31697	px	c.30.1.1	d1bxra3	1bxr A:1-127
31698	px	c.30.1.1	d1bxra4	1bxr A:556-676
31699	px	c.30.1.1	d1bxrc3	1bxr C:1-127
31700	px	c.30.1.1	d1bxrc4	1bxr C:556-676
31701	px	c.30.1.1	d1bxre3	1bxr E:1-127
31702	px	c.30.1.1	d1bxre4	1bxr E:556-676
31703	px	c.30.1.1	d1bxrg3	1bxr G:1-127
31704	px	c.30.1.1	d1bxrg4	1bxr G:556-676
106303	px	c.30.1.1	d1t36a3	1t36 A:1-127
106304	px	c.30.1.1	d1t36a4	1t36 A:556-676
106311	px	c.30.1.1	d1t36c3	1t36 C:1-127
106312	px	c.30.1.1	d1t36c4	1t36 C:556-676
106319	px	c.30.1.1	d1t36e3	1t36 E:1-127
106320	px	c.30.1.1	d1t36e4	1t36 E:556-676
106327	px	c.30.1.1	d1t36g3	1t36 G:1-127
106328	px	c.30.1.1	d1t36g4	1t36 G:556-676
52452	fa	c.30.1.2	-	D-Alanine ligase N-terminal domain
52453	dm	c.30.1.2	-	D-Ala-D-Ala ligase, N-domain
52454	sp	c.30.1.2	-	Escherichia coli, gene ddlB
31713	px	c.30.1.2	d1iow_1	1iow 1-96
31714	px	c.30.1.2	d1iov_1	1iov 1-96
31715	px	c.30.1.2	d2dln_1	2dln 1-96
52455	dm	c.30.1.2	-	D-alanine:D-lactate ligase VanA, N-domain
52456	sp	c.30.1.2	-	Leuconostoc mesenteroides, Ddl2
31716	px	c.30.1.2	d1ehia1	1ehi A:3-134
31717	px	c.30.1.2	d1ehib1	1ehi B:402-534
63983	sp	c.30.1.2	-	Enterococcus faecium
59221	px	c.30.1.2	d1e4ea1	1e4e A:2-131
59223	px	c.30.1.2	d1e4eb1	1e4e B:2-131
102284	fa	c.30.1.6	-	Lysine biosynthesis enzyme LysX, N-terminal domain
102285	dm	c.30.1.6	-	Lysine biosynthesis enzyme LysX, N-terminal domain
102286	sp	c.30.1.6	-	Thermus thermophilus
99165	px	c.30.1.6	d1uc8a1	1uc8 A:1-88
99167	px	c.30.1.6	d1uc8b1	1uc8 B:1-88
99169	px	c.30.1.6	d1uc9a1	1uc9 A:1-88
99171	px	c.30.1.6	d1uc9b1	1uc9 B:1-88
52457	fa	c.30.1.3	-	Prokaryotic glutathione synthetase, N-terminal domain
52458	dm	c.30.1.3	-	Prokaryotic glutathione synthetase, N-terminal domain
52459	sp	c.30.1.3	-	Escherichia coli
31718	px	c.30.1.3	d1gsa_1	1gsa 1-122
31719	px	c.30.1.3	d1gsh_1	1gsh 1-122
31720	px	c.30.1.3	d2glt_1	2glt 1-122
31721	px	c.30.1.3	d1glv_1	1glv 1-122
52460	fa	c.30.1.4	-	Eukaryotic glutathione synthetase, substrate-binding domain
52461	dm	c.30.1.4	-	Eukaryotic glutathione synthetase, substrate-binding domain
52462	sp	c.30.1.4	-	Human (Homo sapiens)
31722	px	c.30.1.4	d2hgsa1	2hgs A:202-303
82378	sp	c.30.1.4	-	Baker's yeast (Saccharomyces cerevisiae)
78363	px	c.30.1.4	d1m0wa1	1m0w A:216-323
78365	px	c.30.1.4	d1m0wb1	1m0w B:1217-1323
78355	px	c.30.1.4	d1m0ta1	1m0t A:214-323
78357	px	c.30.1.4	d1m0tb1	1m0t B:1214-1323
52463	fa	c.30.1.5	-	Synapsin domain
52464	dm	c.30.1.5	-	Synapsin I
52465	sp	c.30.1.5	-	Cow (Bos taurus)
31723	px	c.30.1.5	d1auva1	1auv A:112-213
31724	px	c.30.1.5	d1auvb1	1auv B:110-213
31725	px	c.30.1.5	d1auxa1	1aux A:112-213
31726	px	c.30.1.5	d1auxb1	1aux B:112-213
102287	sp	c.30.1.5	-	Rat (Rattus norvegicus)
94807	px	c.30.1.5	d1pk8a1	1pk8 A:112-213
94809	px	c.30.1.5	d1pk8b1	1pk8 B:113-213
94811	px	c.30.1.5	d1pk8c1	1pk8 C:113-213
94813	px	c.30.1.5	d1pk8d1	1pk8 D:112-213
94815	px	c.30.1.5	d1pk8e1	1pk8 E:112-213
94817	px	c.30.1.5	d1pk8f1	1pk8 F:113-213
94819	px	c.30.1.5	d1pk8g1	1pk8 G:112-213
94821	px	c.30.1.5	d1pk8h1	1pk8 H:112-213
95273	px	c.30.1.5	d1px2a1	1px2 A:112-213
95275	px	c.30.1.5	d1px2b1	1px2 B:113-213
89635	dm	c.30.1.5	-	Synapsin II
89636	sp	c.30.1.5	-	Rat (Rattus norvegicus)
83681	px	c.30.1.5	d1i7na1	1i7n A:113-214
83683	px	c.30.1.5	d1i7nb1	1i7n B:113-214
83677	px	c.30.1.5	d1i7la1	1i7l A:113-214
83679	px	c.30.1.5	d1i7lb1	1i7l B:113-214
52466	cf	c.31	-	DHS-like NAD/FAD-binding domain
52467	sf	c.31.1	-	DHS-like NAD/FAD-binding domain
52468	fa	c.31.1.1	-	Deoxyhypusine synthase, DHS
52469	dm	c.31.1.1	-	Deoxyhypusine synthase, DHS
52470	sp	c.31.1.1	-	Human (Homo sapiens)
31727	px	c.31.1.1	d1dhs__	1dhs -
105025	px	c.31.1.1	d1roza_	1roz A:
105026	px	c.31.1.1	d1rozb_	1roz B:
104989	px	c.31.1.1	d1rlza_	1rlz A:
